filename|barcode|iiif|lang_year|label_filled
Z156265702_00002_page2_01.jpg|Z156265702|https://iiif.onb.ac.at/images/ABO/Z156265702/00000002/358,1757,515,287/full/0/native.jpg|D16|
Z156577207_00001_page1_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000001/0,68,1734,2137/full/0/native.jpg|D16|
Z156577207_00002_page2_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000002/527,872,534,298/full/0/native.jpg|D16|
Z156577207_00009_page9_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000009/94,552,1312,1309/full/0/native.jpg|D16|"plants; vegetation, 25G*|animals, 25F*|birds, 25F3*"
Z156577207_00012_page12_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000012/211,15,378,386/full/0/native.jpg|D16|
Z156577207_00017_page17_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000017/159,94,1194,1466/full/0/native.jpg|D16|landscapes, 25H
Z156577207_00019_page19_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000019/165,68,1189,1855/full/0/native.jpg|D16|"landscapes, 25H|animals, 25F|plants; vegetation, 25G*|horses and kindred animals, 46C1314"
Z156577207_00021_page21_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000021/152,49,1183,1855/full/0/native.jpg|D16|"landscapes, 25H|plants; vegetation, 25G*"
Z156577207_00024_page24_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000024/227,78,1181,1394/full/0/native.jpg|D16|"landscapes, 25H|plants; vegetation, 25G"
Z156577207_00027_page27_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000027/150,34,1225,1151/full/0/native.jpg|D16|plants; vegetation, 25G
Z156577207_00035_page35_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000035/159,26,1172,1808/full/0/native.jpg|D16|"landscapes, 25H|plants; vegetation, 25G*"
Z156577207_00039_page39_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000039/153,95,1177,1802/full/0/native.jpg|D16|"landscapes, 25H|animals, 25F|plants; vegetation, 25G*|horses and kindred animals, 46C1314"
Z156577207_00056_page56_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000056/233,29,1216,1850/full/0/native.jpg|D16|landscapes, 25H*
Z156577207_00063_page63_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000063/148,94,1190,1332/full/0/native.jpg|D16|plants; vegetation, 25G*
Z156577207_00070_page70_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000070/154,38,1354,2019/full/0/native.jpg|D16|
Z156577207_00080_page80_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000080/0,43,1727,2158/full/0/native.jpg|D16|
Z156577207_00084_page84_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000084/0,40,1739,2168/full/0/native.jpg|D16|
Z156577207_00086_page86_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000086/0,40,1740,2165/full/0/native.jpg|D16|
Z156577207_00088_page88_01.jpg|Z156577207|https://iiif.onb.ac.at/images/ABO/Z156577207/00000088/0,40,1740,2165/full/0/native.jpg|D16|
Z15657730X_00002_page2_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000002/509,857,536,307/full/0/native.jpg|D16|
Z15657730X_00003_page3_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000003/24,57,1635,2152/full/0/native.jpg|D16|
Z15657730X_00007_page7_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000007/68,585,1304,1306/full/0/native.jpg|D16|"plants; vegetation, 25G*|animals, 25F*|birds, 25F3*"
Z15657730X_00010_page10_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000010/284,65,368,390/full/0/native.jpg|D16|
Z15657730X_00015_page15_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000015/144,128,1180,1428/full/0/native.jpg|D16|"landscapes, 25H|plants; vegetation, 25G*"
Z15657730X_00017_page17_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000017/154,85,1162,1877/full/0/native.jpg|D16|"landscapes, 25H|animals, 25F|plants; vegetation, 25G*|horses and kindred animals, 46C1314"
Z15657730X_00019_page19_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000019/199,82,1186,1873/full/0/native.jpg|D16|"landscapes, 25H|plants; vegetation, 25G*"
Z15657730X_00022_page22_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000022/232,116,1169,1410/full/0/native.jpg|D16|"landscapes, 25H|plants; vegetation, 25G"
Z15657730X_00025_page25_01.jpg|Z15657730X|https://iiif.onb.ac.at/images/ABO/Z15657730X/00000025/160,157,1217,1101/full/0/native.jpg|D16|"landscapes, 25H*|plants; vegetation, 25G*"
