filename|corpus|label
Z105518505_00007_page7_01.jpg|D17|"animals, 25F|landscapes, 25H*|plants; vegetation, 25G*|fabulous animals, 25FF|birds, 25F3|fishes, 25F6*|bees, 471244*|fabulous animals, angels 11G"
Z105518505_00035_page35_01.jpg|D17|landscapes, 25H
Z105518505_00040_page40_01.jpg|D17|"maps; atlases, 25A|fabulous animals, 25FF*"
Z105518505_00047_page47_01.jpg|D17|"maps; atlases, 25A|plants; vegetation, 25G*|animals, 25F*|camel, 25F24*"
Z105518505_00081_page81_01.jpg|D17|"landscapes, 25H|plants; vegetation, 25G*"
Z105518505_00083_page83_01.jpg|D17|"landscapes, 25H|plants; vegetation, 25G*|animals, 25F*|horses and kindred animals, 46C1314*|group of animals, 25F1"
Z105518505_00085_page85_01.jpg|D17|landscapes, 25H
Z105518505_00088_page88_01.jpg|D17|"landscapes, 25H|plants; vegetation, 25G"
Z105518505_00094_page94_01.jpg|D17|landscapes, 25H*
Z105518505_00095_page95_01.jpg|D17|"landscapes, 25H|plants; vegetation, 25G*"
Z105518505_00108_page108_01.jpg|D17|"landscapes, 25H*|plants; vegetation, 25G*"
Z105518505_00114_page114_01.jpg|D17|"landscapes, 25H|plants; vegetation, 25G"
Z105518505_00118_page118_02.jpg|D17|"landscapes, 25H|plants; vegetation, 25G*"
Z105518505_00118_page118_03.jpg|D17|"landscapes, 25H|plants; vegetation, 25G*"
Z105559507_00035_page35_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00039_page39_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00045_page45_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00049_page49_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00071_page71_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00075_page75_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00086_page86_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00086_page86_02.jpg|D19|"landscapes, 25H|animals, 25F|plants; vegetation, 25G|dog, 34B11|group of animals, 25F1"
Z105559507_00086_page86_03.jpg|D19|"animals, 25F|fabulous animals, 25FF|birds, 25F3|fishes, 25F6|group of animals, 25F1|hoofed animals (GOAT), 25F24|scorpion, 25F715|fabulous animals, angels 11G"
Z105559507_00086_page86_04.jpg|D19|"animals, 25F|plants; vegetation, 25G*|fabulous animals, 25FF|fishes, 25F6|group of animals, 25F1|beasts of prey, predatory animals, 25F23(LION)*|scorpion, 25F715|fabulous animals, merman 31A4561"
Z105559507_00089_page89_01.jpg|D19|"landscapes, 25H|animals, 25F|plants; vegetation, 25G|horses and kindred animals, 46C1314"
Z105559507_00095_page95_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G*"
Z105559507_00115_page115_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00119_page119_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00127_page127_01.jpg|D19|"landscapes, 25H|animals, 25F|plants; vegetation, 25G|horses and kindred animals, 46C1314"
Z105559507_00131_page131_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00146_page146_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00151_page151_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G*"
Z105559507_00159_page159_01.jpg|D19|"landscapes, 25H|animals, 25F|plants; vegetation, 25G|fishes, 25F6"
Z105559507_00165_page165_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00169_page169_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00187_page187_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00193_page193_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00208_page208_01.jpg|D19|"animals, 25F|landscapes, 25H*|plants; vegetation, 25G*|fabulous animals, 25FF|birds, 25F3|fabulous animals, siren (fabulous bird with womans head) 31A4531"
Z105559507_00209_page209_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00215_page215_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00221_page221_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00233_page233_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00237_page237_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00255_page255_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00261_page261_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00278_page278_01.jpg|D19|"landscapes, 25H*|plants; vegetation, 25G*|animals, 25F*|birds, 25F3*"
Z105559507_00283_page283_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G|animals, 25F*|group of animals, 25F1|hoofed animals (GOAT), 25F24*|sheep,25F24*"
Z105559507_00305_page305_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00319_page319_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G"
Z105559507_00323_page323_01.jpg|D19|"landscapes, 25H|plants; vegetation, 25G|animals, 25F*|cattle, 47I21*|group of animals, 25F1"
Z105572305_00028_page28_01.jpg|D17|plants; vegetation, 25G*
